亜,,○ア,
哀,,○アイ○あわれ○あわれむ,
挨,,○アイ,
愛,④アイ,,
曖,,○アイ,
悪,③アク③わるい,,◎オ
握,,○アク○にぎる,
圧,⑤アツ,,
扱,,○あつかう,
宛,,○あてる,
嵐,,○あらし,
安,③アン③やすい,,
案,④アン,,
暗,③アン③くらい,,
以,④イ,,
衣,④イ,○ころも,
位,④イ④くらい,,
囲,④イ④かこむ④かこう,,
医,③イ,,
依,,○イ,◎エ
委,③イ③ゆだねる,,
威,,○イ,
為,,○イ,
畏,,○イ○おそれる,
胃,⑥イ,,
尉,,○イ,
異,⑥イ⑥こと,,
移,⑤イ⑤うつる⑤うつす,,
萎,,○イ○なえる,
偉,,○イ○えらい,
椅,,○イ,
彙,,○イ,
意,③イ,,
違,,○イ○ちがう○ちがえる,
維,,○イ,
慰,,○イ○なぐさめる○なぐさむ,
遺,⑥イ,○ユイ,
緯,,○イ,
域,⑥イキ,,
育,③イク③そだつ③そだてる③はぐくむ,,
一,①イチ①イツ①ひと①ひとつ,,
壱,,○イチ,
逸,,○イツ,
茨,④いばら,,
芋,,○いも,
引,②イン②ひく②ひける,,
印,④イン④しるし,,
因,⑤イン,,◎よる
咽,,○イン,
姻,,○イン,
員,③イン,,
院,③イン,,
淫,,○イン,◎みだら
陰,,○イン○かげ○かげる,
飲,③イン③のむ,,
隠,,○イン○かくす○かくれる,
韻,,○イン,
右,①ウ①ユウ①みぎ,,
宇,⑥ウ,,
羽,②は②はね,○ウ,
雨,①ウ①あめ①あま,,
唄,,○うた,
鬱,,○ウツ,
畝,,○うね,
浦,,○うら,
運,③ウン③はこぶ,,
雲,②ウン②くも,,
永,⑤エイ⑤ながい,,
泳,③エイ③およぐ,,
英,④エイ,,
映,⑥エイ⑥うつる⑥うつす,○はえる,
栄,④エイ④さかえる,,◎はえ◎はえる
営,⑤エイ⑤いとなむ,,
詠,,○エイ,◎よむ
影,,○エイ○かげ,
鋭,,○エイ○するどい,
衛,⑤エイ,,
易,⑤エキ⑤イ⑤やさしい,,
疫,,○エキ,◎ヤク
益,⑤エキ,,◎ヤク
液,⑤エキ,,
駅,③エキ,,
悦,,○エツ,
越,,○エツ○こす○こえる,
謁,,○エツ,
閲,,○エツ,
円,①エン①まるい,,
延,⑥エン⑥のびる⑥のべる⑥のばす,,
沿,⑥エン⑥そう,,
炎,,○エン○ほのお,
怨,,○オン,◎エン
宴,,○エン,
媛,④エン,,
援,,○エン,
園,②エン,○その,
煙,,○エン○けむる○けむり○けむい,
猿,,○エン○さる,
遠,②エン②とおい,,◎オン
鉛,,○エン○なまり,
塩,④エン④しお,,
演,⑤エン,,
縁,,○エン○ふち,
艶,,○つや,◎エン
汚,,○オ○よごす○よごれる○きたない,◎けがす◎けがれる◎けがらわしい
王,①オウ,,
凹,,○オウ,
央,③オウ,,
応,⑤オウ⑤こたえる,,
往,⑤オウ,,
押,,○おす○おさえる,◎オウ
旺,,○オウ,
欧,,○オウ,
殴,,○なぐる,◎オウ
桜,⑤さくら,,◎オウ
翁,,○オウ,
奥,,○おく,◎オウ
横,③オウ③よこ,,
岡,④おか,,
屋,③オク③や,,
億,④オク,,
憶,,○オク,
臆,,○オク,
虞,,○おそれ,
乙,,○オツ,
俺,,○おれ,
卸,,○おろす○おろし,
音,①オン①おと①ね,○イン,
恩,⑤オン,,
温,③オン③あたたか③あたたかい③あたたまる③あたためる,,
穏,,○オン○おだやか,
下,①カ①ゲ①した①しも①さげる①さがる①くだる①くだす①くださる①おろす①おりる,○もと,
化,③カ③ばける③ばかす,○ケ,
火,①カ①ひ,,◎ほ
加,④カ④くわえる④くわわる,,
可,⑤カ,,
仮,⑤カ⑤かり,○ケ,
何,②なに②なん,○カ,
花,①カ①はな,,
佳,,○カ,
価,⑤カ,,◎あたい
果,④カ④はたす④はてる④はて,,
河,⑤カ⑤かわ,,
苛,,○カ,
科,②カ,,
架,,○カ○かける○かかる,
夏,②カ②なつ,○ゲ,
家,②カ②ケ②いえ②や,,
荷,③に,○カ,
華,,○カ○はな,◎ケ
菓,,○カ,
貨,④カ,,
渦,,○うず,◎カ
過,⑤カ⑤すぎる⑤すごす,,◎あやまつ◎あやまち
嫁,,○よめ○とつぐ,◎カ
暇,,○カ○ひま,
禍,,○カ,
靴,,○くつ,◎カ
寡,,○カ,
歌,②カ②うた②うたう,,
箇,,○カ,
稼,,○かせぐ,◎カ
課,④カ,,
蚊,,○か,
牙,,○ゲ○きば,◎ガ
瓦,,○かわら,◎ガ
我,⑥われ,○ガ○わ,
画,②ガ②カク,,
芽,④ガ④め,,
賀,④ガ,,
雅,,○ガ,
餓,,○ガ,
介,,○カイ,
回,②カイ②まわる②まわす,,◎エ
灰,⑥はい,○カイ,
会,②カイ②あう,,◎エ
快,⑤カイ⑤こころよい,,
戒,,○カイ○いましめる,
改,④カイ④あらためる④あらたまる,,
怪,,○カイ○あやしい○あやしむ,
拐,,○カイ,
悔,,○カイ○くいる○くやむ○くやしい,
海,②カイ②うみ,,
界,③カイ,,
皆,,○カイ○みな,
械,④カイ,,
絵,②カイ②エ,,
開,③カイ③ひらく③ひらける③あく③あける,,
階,③カイ,,
塊,,○カイ○かたまり,
楷,,○カイ,
解,⑤カイ⑤とく⑤とかす⑤とける,,◎ゲ
潰,,○カイ○つぶす○つぶれる,
壊,,○カイ○こわす○こわれる,
懐,,○カイ,◎ふところ◎なつかしい◎なつかしむ◎なつく◎なつける
諧,,○カイ,
貝,①かい,,
外,②ガイ②そと②ほか②はずす②はずれる,○ゲ,
劾,,○ガイ,
害,④ガイ,,
崖,,○ガイ○がけ,
涯,,○ガイ,
街,④ガイ④まち,○カイ,
慨,,○ガイ,
蓋,,○ガイ○ふた,
該,,○ガイ,
概,,○ガイ,
骸,,○ガイ,
垣,,○かき,
柿,,○かき,
各,④カク,,◎おのおの
角,②カク②かど②つの,,
拡,⑥カク,,
革,⑥カク,○かわ,
格,⑤カク,,◎コウ
核,,○カク,
殻,,○カク○から,
郭,,○カク,
覚,④カク④おぼえる④さます④さめる,,
較,,○カク,
隔,,○カク○へだてる○へだたる,
閣,⑥カク,,
確,⑤カク⑤たしか⑤たしかめる,,
獲,,○カク○える,
嚇,,○カク,
穫,,○カク,
学,①ガク①まなぶ,,
岳,,○ガク○たけ,
楽,②ガク②ラク②たのしい②たのしむ,,
額,⑤ガク⑤ひたい,,
顎,,○ガク○あご,
掛,,○かける○かかる○かかり,
潟,④かた,,
括,,○カツ,
活,②カツ,,
喝,,○カツ,
渇,,○かわく,◎カツ
割,⑥わる⑥わり⑥われる,○カツ○さく,
葛,,○カツ,◎くず
滑,,○カツ○コツ○すべる○なめらか,
褐,,○カツ,
轄,,○カツ,
且,,○かつ,
株,⑥かぶ,,
釜,,○かま,
鎌,,○かま,
刈,,○かる,
干,⑥カン⑥ほす,○ひる,
刊,⑤カン,,
甘,,○カン○あまい○あまえる○あまやかす,
汗,,○カン○あせ,
缶,,○カン,
完,④カン,,
肝,,○カン○きも,
官,④カン,,
冠,,○カン○かんむり,
巻,⑥カン⑥まく⑥まき,,
看,⑥カン,,
陥,,○カン○おちいる,◎おとしいれる
乾,,○カン○かわく○かわかす,
勘,,○カン,
患,,○カン,◎わずらう
貫,,○カン○つらぬく,
寒,③カン③さむい,,
喚,,○カン,
堪,,○たえる,◎カン
換,,○カン○かえる○かわる,
敢,,○カン,
棺,,○カン,
款,,○カン,
間,②カン②ケン②あいだ②ま,,
閑,,○カン,
勧,,○カン○すすめる,
寛,,○カン,
幹,⑤カン⑤みき,,
感,③カン,,
漢,③カン,,
慣,⑤カン⑤なれる⑤ならす,,
管,④カン④くだ,,
関,④カン④せき④かかわる,,
歓,,○カン,
監,,○カン,
緩,,○カン○ゆるい○ゆるやか○ゆるむ○ゆるめる,
憾,,○カン,
還,,○カン,
館,③カン③やかた,,
環,,○カン,
簡,⑥カン,,
観,④カン,,
韓,,○カン,
艦,,○カン,
鑑,,○カン,◎かんがみる
丸,②ガン②まる②まるい②まるめる,,
含,,○ガン○ふくむ○ふくめる,
岸,③ガン③きし,,
岩,②ガン②いわ,,
玩,,○ガン,
眼,⑤ガン,○まなこ,◎ゲン
頑,,○ガン,
顔,②ガン②かお,,
願,④ガン④ねがう,,
企,,○キ○くわだてる,
伎,,○キ,
危,⑥キ⑥あぶない,○あやうい○あやぶむ,
机,⑥つくえ,○キ,
気,①キ①ケ,,
岐,④キ,,
希,④キ,,
忌,,○キ,◎いむ◎いまわしい
汽,②キ,,
奇,,○キ,
祈,,○キ○いのる,
季,④キ,,
紀,⑤キ,,
軌,,○キ,
既,,○キ○すでに,
記,②キ②しるす,,
起,③キ③おきる③おこる③おこす,,
飢,,○キ○うえる,
鬼,,○キ○おに,
帰,②キ②かえる②かえす,,
基,⑤キ,○もと,◎もとい
寄,⑤キ⑤よる⑤よせる,,
規,⑤キ,,
亀,,○キ○かめ,
喜,⑤キ⑤よろこぶ,,
幾,,○キ○いく,
揮,⑥キ,,
期,③キ,,◎ゴ
棋,,○キ,
貴,⑥キ,○たっとい○とうとい○たっとぶ○とうとぶ,
棄,,○キ,
毀,,○キ,
旗,④キ④はた,,
器,④キ,○うつわ,
畿,,○キ,
輝,,○キ○かがやく,
機,④キ,○はた,
騎,,○キ,
技,⑤ギ,○わざ,
宜,,○ギ,
偽,,○ギ○いつわる,◎にせ
欺,,○ギ○あざむく,
義,⑤ギ,,
疑,⑥ギ⑥うたがう,,
儀,,○ギ,
戯,,○ギ,◎たわむれる
擬,,○ギ,
犠,,○ギ,
議,④ギ,,
菊,,○キク,
吉,,○キチ○キツ,
喫,,○キツ,
詰,,○つめる○つまる○つむ,◎キツ
却,,○キャク,
客,③キャク,○カク,
脚,,○キャク○あし,◎キャ
逆,⑤ギャク⑤さか⑤さからう,,
虐,,○ギャク,◎しいたげる
九,①キュウ①ク①ここの①ここのつ,,
久,⑤キュウ⑤ひさしい,,◎ク
及,,○キュウ○およぶ○および○およぼす,
弓,②ゆみ,○キュウ,
丘,,○キュウ○おか,
旧,⑤キュウ,,
休,①キュウ①やすむ①やすまる①やすめる,,
吸,⑥キュウ⑥すう,,
朽,,○キュウ○くちる,
臼,,○キュウ○うす,
求,④キュウ④もとめる,,
究,③キュウ,○きわめる,
泣,④なく,○キュウ,
急,③キュウ③いそぐ,,
級,③キュウ,,
糾,,○キュウ,
宮,③キュウ③みや,○グウ,◎ク
救,④キュウ④すくう,,
球,③キュウ③たま,,
給,④キュウ,,
嗅,,○キュウ○かぐ,
窮,,○キュウ,◎きわめる◎きわまる
牛,②ギュウ②うし,,
去,③キョ③コ③さる,,
巨,,○キョ,
居,⑤キョ⑤いる,,
拒,,○キョ○こばむ,
拠,,○キョ○コ,
挙,④キョ④あげる④あがる,,
虚,,○キョ,◎コ
許,⑤キョ⑤ゆるす,,
距,,○キョ,
魚,②ギョ②うお②さかな,,
御,,○ギョ○ゴ○おん,
漁,④ギョ④リョウ,,
凶,,○キョウ,
共,④キョウ④とも,,
叫,,○キョウ○さけぶ,
狂,,○キョウ○くるう○くるおしい,
京,②キョウ,○ケイ,
享,,○キョウ,
供,⑥キョウ⑥そなえる⑥とも,,◎ク
協,④キョウ,,
況,,○キョウ,
峡,,○キョウ,
挟,,○はさむ○はさまる,◎キョウ
狭,,○せまい○せばめる○せばまる,◎キョウ
恐,,○キョウ○おそれる○おそろしい,
恭,,○キョウ,◎うやうやしい
胸,⑥キョウ⑥むね,○むな,
脅,,○キョウ○おどす○おどかす,◎おびやかす
強,②キョウ②つよい②つよまる②つよめる,○ゴウ○しいる,
教,②キョウ②おしえる②おそわる,,
郷,⑥キョウ,○ゴウ,
境,⑤キョウ⑤さかい,○ケイ,
橋,③キョウ③はし,,
矯,,○キョウ,◎ためる
鏡,④キョウ④かがみ,,
競,④キョウ④ケイ,○きそう,◎せる
響,,○キョウ○ひびく,
驚,,○キョウ○おどろく○おどろかす,
仰,,○ギョウ○コウ○あおぐ,◎おおせ
暁,,○あかつき,◎ギョウ
業,③ギョウ,○わざ,◎ゴウ
凝,,○ギョウ○こる○こらす,
曲,③キョク③まがる③まげる,,
局,③キョク,,
極,④キョク,○ゴク○きわめる○きわまる○きわみ,
玉,①ギョク①たま,,
巾,,○キン,
斤,,○キン,
均,⑤キン,,
近,②キン②ちかい,,
金,①キン①コン①かね①かな,,
菌,,○キン,
勤,⑥キン⑥つとめる⑥つとまる,,◎ゴン
琴,,○キン○こと,
筋,⑥キン⑥すじ,,
僅,,○キン○わずか,
禁,⑤キン,,
緊,,○キン,
錦,,○キン○にしき,
謹,,○キン○つつしむ,
襟,,○えり,◎キン
